Row,i01.a,i01.b,i01.c,i01.d,i01.e,i01.f,i01.g,i01.h,i01.i,i01.j,i01.k,i01.l,i01.m,i01.n,i01.o,i01.w.1,i01.w.2,i02,i05,i10,i11.a,i11.b,i11.c,i12,i13.1,i13.20.11,i13.20.12,i13.20.13,i13.20.14,i13.20.15,i13.20.16,i14.1,i14.2,i14.3,i15.a,i15.b,i15.c,i15.d,i15.e,i15.f,i15.g,i15.h,i15.i,i15.j,i15.k,i16,i17,i18,i19,i20,i20.w,i21.1,i21.w.1,i21.2,i22,i23.1,i23.2,i23.3,i24.a,i24.a.w,i24.b,i24.c,i24.d,i25,i26.a,i26.a.w,i26.b,i26.c,i26.d,i26.d.w,i26.e,i27.a,i27.a.w,i27.41,i27.41.w,i27.42,i27.42.w,i27.43,i27.43.w,i27.44,i27.44.w,i27.45,i27.45.w,i27.5,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i37.w.1,i40.11.a,i40.11.b,i40.11.c,i40.11.d,i40.11.e,i40.11.f,i40.11.g,i40.11.h,i40.11.i,i40.11.j,i40.11.k,i40.11.l,i40.12,i40.13,i40.2,i40.3,i41,i45,i45.w,i50.a,i50.b,i51,i52,i55,i60.1,i60.2,i60.3,i61.1,i61.2,i62,i63,i64,i65,i66,i67,i70,i71,i72,i73,i74,i75,i80,i85,i90.1.a,i90.1.b,i90.1.c,i90.1.d,i90.1.e,i90.1.f,i90.1.g,i90.2.a,i90.2.b,i90.2.c,i90.3.a,i90.3.b,i90.4.a,i90.4.b,i90.5.a,i90.5.b,i90.5.c,i90.5.d,i90.5.e,i90.5.f,i91,i92,i93,i95,i99,m01
p50.b,34.85,15.48,96.12,94.59,80.94,96.82,24.44,59.62,13.18,3.11,30.85,99.83,90.51,45.03,59.01,62.07,5.63,67.73,70.04,78.89,60.93,12.69,69.15,51.01,86.11,58.43,33.59,39.69,63.08,1.68,43.98,83.40,4.70,13.98,11.05,11.37,52.85,37.97,53.69,65.03,72.43,98.58,38.70,32.05,46.33,4.07,57.47,74.51,29.50,9.32,81.51,14.24,85.23,53.78,21.38,52.51,68.79,78.31,7.56,19.08,96.68,21.78,36.64,27.66,6.37,70.90,81.93,23.43,39.03,68.44,8.61,9.63,72.48,96.57,23.64,13.32,47.86,92.58,6.82,40.34,16.35,8.55,44.97,65.62,98.77,52.92,7.78,44.79,31.57,70.89,3.51,13.35,11.95,66.89,58.87,10.51,3.90,25.30,9.57,91.33,41.18,50.34,52.86,72.55,60.20,30.36,85.61,60.12,22.71,21.64,9.89,45.40,48.45,37.50,67.07,11.91,47.17,23.98,22.22,79.35,38.53,13.50,32.95,97.63,99.09,54.27,31.71,75.84,77.37,33.03,2.36,96.38,25.38,80.55,50.66,6.50,54.15,14.81,97.91,56.35,67.50,46.97,62.61,42.56,57.32,19.28,28.79,69.10,72.45,22.25,57.68,73.97,87.02,83.91,42.13,16.45,72.48,42.32,80.94,24.70,80.25,18.03,1.12,39.43
p51,90.90,44.80,86.82,54.46,84.13,37.48,57.46,95.66,12.59,20.70,39.76,74.42,3.19,46.92,89.25,54.50,34.32,31.57,24.22,12.71,36.10,65.52,16.70,1.19,86.11,45.77,29.37,2.98,61.48,71.48,28.30,17.40,22.01,15.56,39.75,64.36,7.78,34.75,12.97,57.27,27.62,25.96,59.67,65.67,15.49,41.82,0.64,73.86,90.96,7.97,40.86,53.18,55.23,52.33,36.67,59.50,56.30,10.53,11.45,11.96,35.77,8.69,19.15,23.90,17.66,77.41,48.25,89.06,81.73,48.77,60.08,47.11,62.60,44.16,31.59,92.60,83.64,11.98,54.64,38.69,44.67,59.67,24.87,97.45,56.89,46.47,57.94,3.46,3.63,21.61,76.34,70.93,62.80,85.36,13.86,0.22,7.68,92.04,10.37,13.97,70.92,25.13,86.56,62.87,59.62,3.85,3.30,64.36,91.21,74.03,12.66,31.60,13.89,43.01,61.22,72.78,49.07,51.82,69.78,49.41,69.32,4.59,9.56,60.12,86.07,82.88,1.48,65.06,77.53,65.77,94.96,32.75,25.30,10.80,93.84,14.94,30.50,38.62,36.05,11.72,20.65,52.24,53.56,32.49,71.74,72.02,84.19,11.99,57.16,84.05,72.84,52.67,67.30,0.36,91.62,36.23,17.37,18.82,53.69,3.45,88.26,61.55,55.02,47.94
p52,58.28,28.89,41.82,53.18,18.78,66.62,62.72,59.64,7.52,10.37,19.41,99.44,50.55,0.57,75.65,19.96,3.73,86.20,57.78,24.29,62.74,92.80,25.54,43.59,43.23,90.11,54.36,5.15,65.10,1.95,92.97,89.57,30.04,14.07,63.54,57.70,32.13,41.40,79.39,68.52,64.48,95.31,71.71,7.00,29.42,51.96,30.45,47.13,86.75,88.55,93.55,56.83,63.86,47.84,38.28,23.17,26.53,48.23,77.97,0.45,63.06,3.66,85.56,50.11,9.99,24.97,41.41,77.83,99.53,48.26,77.67,99.64,44.34,21.91,26.70,51.60,95.47,73.46,21.35,56.83,75.23,37.34,62.50,49.05,68.40,40.88,72.36,46.16,33.42,62.75,16.55,12.15,24.10,1.29,14.26,98.09,53.08,92.17,75.50,9.27,46.18,23.58,9.11,48.14,98.83,32.04,33.65,73.32,55.57,76.13,35.80,4.64,85.93,6.16,59.73,39.22,84.32,68.50,36.57,66.25,99.73,5.12,0.01,90.94,75.64,79.59,97.99,85.21,42.26,67.45,82.34,53.58,67.03,10.38,34.34,24.82,58.74,42.63,52.24,8.50,61.31,95.91,48.56,63.51,24.10,48.95,21.07,36.73,83.84,96.74,49.44,89.95,16.77,56.04,29.39,86.89,65.49,56.10,30.47,15.43,24.05,41.11,45.56,94.38
p55,53.10,69.53,79.14,29.57,53.73,68.69,29.32,95.08,64.55,28.92,74.56,54.94,23.91,13.20,84.14,37.68,63.22,62.19,38.72,34.96,13.73,91.11,67.10,81.06,12.19,22.20,91.55,81.40,81.54,51.34,95.95,19.55,46.77,55.87,20.02,62.40,10.48,40.02,16.92,15.60,92.82,42.76,74.46,7.87,6.80,25.81,76.93,26.43,14.60,97.02,35.59,11.03,39.83,65.02,96.51,33.22,65.06,53.37,33.04,69.68,21.20,66.43,98.35,29.15,98.28,26.74,95.97,85.92,63.05,36.45,17.85,73.37,10.87,43.32,4.16,33.92,28.11,76.59,45.66,94.14,7.34,38.29,6.98,25.87,8.21,27.35,67.51,4.65,18.07,70.59,20.81,24.40,82.16,0.76,79.77,1.47,91.81,56.36,85.14,37.96,32.86,64.72,12.71,58.83,22.14,23.11,64.96,28.76,91.19,34.84,0.29,34.63,99.33,68.23,99.65,45.02,2.85,11.45,28.28,21.59,38.81,75.95,21.53,25.11,38.52,41.62,98.54,95.87,19.73,88.27,6.80,35.34,35.31,76.10,45.73,39.23,62.77,18.65,62.51,62.26,89.43,62.05,12.37,82.57,99.09,0.95,89.68,54.56,16.35,27.31,37.19,10.59,78.89,41.70,40.62,38.22,7.24,47.57,51.85,88.79,42.32,93.50,77.03,25.97
p60.1,26.35,54.32,99.97,40.77,3.18,68.39,45.61,56.00,98.48,3.39,48.34,56.63,64.13,29.66,57.58,97.02,15.33,84.69,48.37,48.95,6.27,50.99,13.29,73.00,57.42,40.59,51.68,83.65,18.03,7.02,81.74,72.01,6.91,23.35,26.20,18.45,26.62,13.96,45.75,29.87,97.62,86.85,53.06,92.11,47.54,26.04,85.15,64.33,68.95,28.54,40.32,55.17,92.69,58.54,13.77,39.35,82.42,38.52,97.23,44.49,54.15,40.54,15.60,36.04,36.52,29.55,45.39,88.32,5.01,68.05,69.85,37.36,88.39,86.69,72.55,90.70,9.04,82.18,83.15,3.42,56.06,84.60,17.13,64.15,56.39,77.79,10.82,59.33,95.01,46.49,95.59,97.49,20.62,79.74,24.43,38.94,26.30,86.18,80.92,78.93,99.83,0.71,56.75,76.62,25.86,80.97,49.14,22.48,10.62,17.92,38.52,71.58,9.24,97.99,65.41,19.90,23.20,90.36,47.74,93.54,84.95,34.27,78.71,65.02,9.59,65.43,24.84,12.72,2.86,34.54,60.84,34.31,14.48,65.62,86.52,43.36,34.08,83.80,35.35,61.65,18.24,86.75,56.92,53.28,53.28,11.57,72.36,99.62,8.43,57.69,68.69,22.73,75.88,97.78,92.99,63.13,25.32,11.87,72.61,81.50,28.26,10.14,9.21,16.36
p60.2,61.08,5.43,28.73,45.06,80.36,60.90,79.23,81.32,84.91,48.49,99.78,12.43,44.51,15.05,60.62,80.99,11.33,43.73,10.27,81.56,43.19,3.95,96.17,20.81,97.56,41.49,47.50,15.83,67.46,87.74,5.90,94.18,48.90,33.59,18.96,7.88,11.83,27.68,21.99,36.50,51.83,38.38,62.14,19.87,80.25,12.10,1.83,46.90,4.61,0.90,13.89,21.24,52.72,31.91,49.70,48.01,45.40,86.95,69.22,59.29,66.08,66.30,55.79,11.83,5.55,53.99,46.70,8.19,30.09,51.58,36.89,62.41,93.90,48.69,63.55,87.83,78.01,39.37,23.11,64.47,30.63,90.52,82.02,87.81,82.13,39.47,21.72,25.36,23.91,71.26,1.21,51.36,56.21,62.37,6.51,4.72,96.92,36.83,43.81,94.36,15.42,61.71,45.53,61.57,28.56,84.14,31.70,62.37,44.55,1.09,22.63,61.26,80.65,99.25,89.46,56.73,73.60,81.20,1.58,76.68,48.27,48.10,59.89,35.63,23.23,2.48,88.12,79.72,44.56,95.42,77.91,5.99,5.03,60.26,15.19,49.68,50.32,35.84,77.67,36.39,42.64,0.92,88.58,41.92,54.70,95.22,85.02,69.22,38.26,49.85,20.05,47.30,87.67,46.22,63.34,61.47,88.80,31.27,31.58,77.61,95.39,58.02,78.66,49.49
p60.3,10.41,13.56,43.13,27.47,77.16,44.76,47.42,17.40,87.57,33.24,37.07,90.85,12.28,53.76,27.23,18.57,3.03,95.79,70.85,50.98,98.98,5.81,91.86,4.27,55.32,51.64,0.68,95.30,1.24,30.20,84.49,7.70,26.33,46.46,11.38,43.43,68.04,24.32,62.31,37.69,99.31,10.45,34.77,74.66,66.96,94.61,15.15,40.48,56.83,51.16,47.68,69.50,20.17,71.03,31.25,39.27,38.63,78.74,72.13,29.18,24.92,42.16,57.51,86.46,25.66,7.15,95.11,91.89,0.40,96.52,60.57,65.81,2.06,86.95,49.64,49.21,51.28,39.31,92.35,24.71,82.71,27.71,88.39,75.39,84.08,41.90,94.75,64.39,82.93,32.98,94.68,43.55,44.08,55.19,13.65,47.61,66.09,2.66,81.33,59.88,85.98,13.62,76.71,11.79,92.79,79.03,1.79,79.43,68.17,0.45,31.04,38.85,56.62,35.64,9.86,44.08,49.38,91.93,65.13,39.02,7.96,23.40,18.38,29.55,16.91,15.12,5.94,79.95,27.82,28.71,77.43,74.47,12.68,98.94,30.78,71.69,17.18,73.02,81.54,16.41,35.27,59.47,96.04,92.76,60.45,38.51,9.53,26.41,18.80,37.41,55.22,67.44,81.28,22.19,27.03,56.18,65.08,80.27,83.07,20.11,53.99,31.90,67.65,82.77
p61.1,35.75,93.24,41.81,93.71,42.62,71.72,47.78,59.38,92.26,22.51,47.49,84.78,94.72,77.43,63.06,40.80,39.60,65.53,89.85,98.22,21.51,81.48,57.10,37.25,25.66,57.53,50.35,60.73,40.37,92.97,49.88,44.70,97.19,32.33,54.10,26.28,69.36,61.37,52.51,34.15,79.70,75.88,24.14,83.63,86.21,25.99,72.61,16.54,26.27,25.42,48.11,69.87,31.93,76.11,85.89,86.12,79.95,20.78,21.87,45.61,11.58,67.90,18.30,8.63,38.61,32.89,14.49,96.76,27.78,78.96,37.87,89.43,40.28,57.00,10.71,27.16,62.79,88.31,35.39,70.28,8.86,56.13,64.71,9.65,10.19,91.73,31.93,92.31,64.54,65.88,65.26,59.68,35.75,38.74,40.05,69.21,51.89,16.36,78.94,22.29,56.95,53.79,12.17,98.44,37.20,81.61,50.29,98.32,31.34,27.94,92.72,71.39,45.19,98.72,40.46,65.37,16.23,10.87,53.27,60.94,56.11,1.87,74.32,70.66,37.96,64.65,67.13,94.61,14.93,52.25,77.60,63.26,33.91,44.80,9.46,91.12,2.57,83.40,83.71,11.67,92.57,65.60,41.09,9.51,39.30,32.96,50.67,0.47,95.28,21.72,41.83,80.57,81.78,81.25,44.02,92.41,95.91,65.51,8.57,66.74,89.39,57.99,32.09,19.06
p61.2,14.09,50.44,63.35,6.44,65.61,97.26,56.94,89.79,61.84,14.76,86.72,16.96,87.04,61.30,10.35,1.76,82.61,64.68,95.05,15.57,96.47,21.46,34.13,62.51,24.54,90.96,27.10,88.29,71.49,89.62,5.39,23.70,98.91,54.28,15.24,95.70,12.28,78.68,7.50,20.58,12.58,31.66,17.49,80.40,3.76,85.55,72.70,62.06,3.84,92.03,61.98,34.81,66.25,34.50,27.65,98.07,26.17,95.38,88.01,79.50,11.79,58.69,8.77,61.02,1.89,63.33,84.98,60.88,0.91,63.11,94.67,54.37,21.85,68.96,25.07,98.01,80.59,23.16,99.70,58.76,64.37,98.13,93.84,71.24,98.51,43.49,81.74,20.65,50.72,12.19,58.77,70.36,44.30,94.79,89.63,71.90,13.30,48.01,68.24,23.45,78.78,34.95,1.54,37.66,91.50,6.20,96.67,36.79,27.09,25.49,33.70,98.39,62.31,48.37,62.30,53.62,99.78,7.64,38.16,9.51,6.13,74.51,72.86,99.89,57.84,98.91,33.07,17.39,67.90,15.78,63.25,31.37,85.05,88.47,4.33,30.02,63.21,72.43,0.07,36.17,0.79,73.79,63.11,90.32,35.09,64.84,77.63,0.74,43.90,55.24,97.84,3.55,65.24,24.03,6.20,64.56,30.84,12.30,93.35,49.51,46.98,40.09,13.52,2.91
p62,83.02,52.31,83.37,40.18,31.45,16.71,15.52,0.68,91.59,74.39,56.77,16.25,23.55,85.00,0.74,94.03,12.36,25.55,49.17,26.98,62.64,7.31,12.13,70.61,98.29,39.38,85.34,96.32,25.13,73.53,10.28,99.33,76.78,76.73,16.73,4.79,25.39,83.86,32.98,87.26,56.05,1.21,86.83,47.41,88.80,69.17,55.66,55.19,83.74,48.05,41.69,11.35,26.03,54.97,18.15,54.81,63.09,55.87,87.22,33.19,22.94,92.67,1.56,97.74,65.67,17.29,90.30,59.11,24.40,44.10,15.59,93.34,72.05,98.35,96.82,24.25,23.17,49.85,46.55,45.92,39.36,18.24,87.73,81.39,30.38,97.66,2.04,23.18,88.40,87.84,20.74,68.98,82.10,41.48,72.87,64.20,39.91,96.12,66.45,29.14,34.49,87.11,48.50,30.54,18.13,80.03,72.44,76.38,68.06,9.68,98.15,96.11,14.78,8.34,58.35,36.44,93.82,84.84,6.86,5.75,20.55,65.43,24.84,33.65,34.11,17.04,27.49,96.98,28.67,89.81,33.75,28.48,19.48,78.84,39.77,25.44,59.93,45.59,92.49,48.31,98.17,2.98,22.02,6.68,0.58,50.88,33.71,16.24,10.46,64.85,63.01,68.09,53.79,2.32,56.12,56.85,40.49,40.61,28.23,59.26,68.62,21.63,29.99,42.26
p63,75.70,17.53,0.52,50.35,69.14,66.37,12.02,90.51,1.31,80.73,34.18,44.37,9.10,58.38,71.30,94.77,65.37,81.61,62.34,27.60,37.59,22.99,64.93,64.24,72.54,49.91,62.99,30.50,48.27,56.14,74.48,7.41,11.45,59.78,91.82,98.11,73.49,48.69,51.63,1.03,7.92,51.78,18.58,89.55,12.76,88.58,76.89,7.00,49.59,44.12,42.59,20.32,26.11,88.48,52.68,11.51,37.20,30.92,85.34,37.90,42.24,5.30,35.02,18.70,5.22,6.86,66.42,87.68,94.08,67.17,26.62,33.31,48.15,56.89,13.75,67.74,16.08,32.04,34.12,27.05,62.00,79.56,56.84,92.43,4.27,96.99,77.89,30.78,3.76,25.15,43.12,98.12,43.15,93.63,74.76,39.25,81.77,48.55,89.57,42.11,92.87,39.31,67.60,86.68,4.34,54.38,99.71,79.64,86.03,9.86,4.95,94.09,68.38,47.01,75.29,28.79,85.62,16.53,67.64,86.42,23.43,99.72,76.22,67.27,70.17,21.45,57.17,60.06,6.35,36.17,60.77,29.92,63.65,37.45,43.49,83.72,76.91,7.33,12.14,26.36,74.84,18.05,37.44,3.44,16.99,75.03,61.87,94.11,91.34,73.98,16.97,85.67,86.14,90.60,56.77,66.29,94.99,82.26,57.71,92.36,6.47,77.87,39.01,22.12
p64,66.23,15.01,64.54,93.35,86.55,79.39,7.76,20.38,39.92,24.20,47.84,86.11,21.47,83.02,48.04,79.69,25.08,4.21,15.87,21.93,95.23,12.86,76.96,53.44,88.23,61.88,80.51,21.49,54.07,99.38,82.66,38.41,26.49,11.87,54.47,35.45,92.58,34.17,9.20,8.35,68.10,14.78,94.70,94.08,55.39,90.52,48.46,24.42,99.79,23.98,74.51,31.29,54.62,71.26,11.54,69.02,36.61,93.69,48.76,57.76,25.93,33.95,20.05,55.26,46.68,26.21,29.70,71.96,99.41,22.48,58.09,27.51,44.97,46.09,73.68,27.39,71.55,97.15,61.12,22.17,30.33,18.83,55.04,93.99,49.22,49.48,19.50,5.08,6.18,27.59,27.71,18.94,83.82,64.89,82.50,39.27,78.20,77.25,92.19,38.10,9.60,61.60,8.57,68.27,20.19,99.60,95.93,89.55,6.15,4.91,36.34,31.54,70.65,66.75,79.88,18.70,19.47,29.45,75.36,50.60,92.85,62.21,39.25,64.56,9.05,74.49,18.16,19.55,30.19,37.06,9.45,54.52,69.77,68.76,33.82,54.05,24.54,5.21,6.13,49.53,83.50,68.52,78.76,91.47,38.82,94.75,13.14,87.85,3.63,58.02,8.42,44.67,20.93,54.42,28.20,37.10,93.07,88.90,73.90,90.49,71.34,46.89,3.19,61.32
p65,48.97,59.99,81.85,52.38,63.24,2.52,15.44,65.09,10.74,17.00,13.41,5.75,9.38,11.15,39.59,22.54,92.50,19.77,23.89,50.67,25.60,84.47,12.16,97.17,63.56,87.81,47.21,95.42,6.07,75.92,23.43,25.95,82.41,99.08,96.98,32.91,69.68,50.29,13.04,68.98,15.02,85.69,61.58,86.35,94.27,24.18,40.17,86.14,59.25,49.90,73.53,56.71,17.99,86.26,65.21,98.96,52.43,84.24,18.40,57.09,58.01,54.41,28.43,99.76,61.03,53.26,20.14,31.21,15.31,74.01,13.39,24.28,68.54,52.00,99.12,98.96,44.08,64.98,18.09,15.76,12.45,1.79,95.75,86.57,5.35,82.48,10.97,8.60,39.83,42.76,30.68,42.21,68.98,7.14,39.11,77.65,77.97,91.80,47.78,58.58,7.33,51.69,50.91,13.99,60.15,0.17,43.75,18.77,75.36,26.89,32.90,46.04,67.45,57.89,37.92,0.14,55.94,67.47,38.73,87.00,89.33,42.43,33.00,7.27,52.59,67.35,85.06,46.92,79.18,16.35,44.89,83.00,36.57,94.99,55.61,52.76,18.25,17.49,48.15,48.65,97.81,57.63,87.21,53.49,1.52,13.95,59.09,90.05,30.53,28.51,42.05,10.33,81.45,72.29,20.55,44.37,48.07,22.01,31.18,85.59,29.98,79.13,66.34,91.75
p66,48.02,72.29,35.21,79.61,31.29,69.65,95.79,54.46,44.08,1.01,81.20,29.36,59.50,69.35,98.26,55.17,1.41,92.78,49.30,23.64,1.16,26.07,67.11,84.40,47.05,61.16,50.68,34.20,89.76,65.19,69.48,12.23,58.70,37.22,38.17,34.86,76.02,77.75,15.25,95.57,26.50,49.17,55.82,87.06,40.83,78.71,59.18,70.02,12.90,13.25,68.93,95.83,11.23,46.44,20.49,75.02,53.94,42.36,16.95,59.66,44.10,6.00,54.25,74.50,68.72,20.46,72.35,38.72,3.96,58.62,45.08,41.64,61.22,2.24,49.37,28.13,63.26,22.11,79.73,12.14,44.58,83.92,1.61,93.45,52.79,34.64,7.82,54.23,66.17,42.18,7.23,46.80,52.02,13.62,46.99,70.24,94.28,91.54,85.33,45.93,40.49,63.26,1.19,48.08,60.22,75.64,89.29,86.38,61.00,70.05,99.85,11.33,22.77,59.21,96.84,77.39,29.25,24.16,56.01,45.22,36.52,71.09,50.33,28.15,7.28,39.34,88.64,49.22,99.25,44.28,94.44,19.56,39.92,24.46,79.05,81.84,75.86,0.45,25.64,58.55,27.36,91.25,11.27,80.12,55.74,28.24,37.62,5.21,55.17,20.70,96.34,54.33,53.93,3.57,55.97,47.63,6.71,29.40,57.47,75.51,100.00,19.12,60.84,29.13
p67,15.80,84.20,89.47,24.76,27.77,6.81,46.74,4.43,59.92,40.02,54.00,73.75,88.54,92.04,80.91,4.39,62.55,21.02,67.83,41.89,72.41,13.28,66.94,43.62,78.62,70.83,69.61,47.57,33.54,50.99,43.02,0.95,18.97,44.74,61.12,97.64,86.20,66.95,49.91,29.37,13.85,46.95,87.21,95.30,91.15,71.27,50.20,12.12,77.85,60.26,71.75,66.54,5.79,73.56,73.07,95.59,80.81,87.83,0.64,22.12,57.87,44.66,37.38,70.50,74.74,95.39,2.03,38.71,96.06,35.65,48.51,42.05,39.01,50.66,30.28,99.08,57.18,13.87,50.76,55.20,12.08,27.92,53.16,21.67,59.24,36.36,38.77,45.79,28.09,81.87,34.86,77.74,76.10,67.49,31.15,31.17,35.26,97.23,14.13,40.73,27.77,48.67,17.18,50.10,28.08,85.24,15.41,95.53,12.72,73.65,78.49,82.10,27.13,59.28,83.50,99.31,46.13,58.91,56.67,17.64,69.41,76.85,34.78,32.84,92.86,28.69,4.77,44.55,88.25,37.07,25.89,98.27,72.89,92.93,79.41,2.10,31.43,71.61,45.27,28.11,83.73,89.09,76.82,59.31,3.31,47.92,27.36,51.11,8.73,73.72,61.19,35.18,88.96,84.02,64.08,68.87,40.75,41.89,3.54,38.99,5.46,5.74,19.77,48.82
p70,22.72,14.00,14.89,47.58,1.81,56.84,35.40,61.81,68.01,95.78,87.55,4.12,98.73,71.20,25.78,30.15,89.41,53.13,79.24,15.98,63.64,91.29,34.73,82.92,27.61,66.69,96.17,63.22,94.07,39.19,45.52,8.00,60.05,73.51,15.50,92.72,42.95,47.94,46.76,19.51,51.29,19.44,8.68,23.92,39.52,77.89,98.43,93.97,48.50,94.44,79.06,57.79,20.56,29.98,16.40,25.38,28.84,57.24,5.47,73.26,94.98,16.23,86.11,99.57,42.57,47.21,81.33,63.92,29.69,3.53,88.93,50.89,99.91,43.44,8.31,29.91,27.42,2.20,26.41,13.74,49.37,67.10,51.35,82.76,9.25,37.08,13.99,28.18,33.29,39.27,77.92,34.05,3.07,47.92,54.88,3.51,51.19,34.15,37.51,45.38,77.80,95.98,42.21,27.17,31.00,2.77,44.29,98.90,59.17,26.22,2.89,3.96,9.51,11.11,27.02,26.37,26.63,81.97,89.96,57.08,82.31,33.17,15.01,19.62,87.78,52.57,16.48,48.26,83.28,47.10,57.53,38.82,23.16,30.13,1.28,97.50,7.92,98.70,4.19,94.73,1.96,94.63,45.81,25.60,16.85,67.53,45.13,60.36,84.48,23.04,6.85,43.15,35.36,70.49,20.65,63.09,47.60,24.60,92.85,14.68,66.09,64.95,3.52,15.97
p71,94.70,84.23,0.60,38.94,52.18,13.91,91.93,81.37,36.70,27.66,49.48,3.79,67.08,98.95,44.59,39.96,21.03,18.14,23.89,42.04,72.40,85.74,19.08,20.53,93.99,99.10,76.72,96.90,82.54,89.46,58.44,95.35,12.35,26.55,94.99,82.87,38.60,36.17,83.46,34.03,10.10,77.15,94.03,90.91,64.16,34.07,74.05,43.37,15.21,59.33,54.54,9.60,22.48,7.49,68.99,86.45,59.70,56.97,14.65,59.85,46.12,18.03,59.47,45.10,34.02,21.72,91.44,87.65,0.55,58.44,88.86,35.44,90.00,56.37,54.96,29.24,44.18,69.61,66.76,32.91,23.48,32.95,57.97,61.33,85.86,87.15,94.56,22.08,82.48,46.20,42.78,50.85,53.37,17.76,17.67,85.69,75.05,37.87,63.99,79.65,25.26,9.48,11.58,55.84,3.87,26.22,27.85,70.68,82.86,50.26,64.81,34.76,86.78,62.91,21.74,65.33,34.53,5.97,84.34,50.21,68.30,70.56,41.04,43.27,56.86,93.05,47.94,57.38,98.86,89.32,78.30,25.10,19.11,34.61,88.57,86.17,96.76,16.51,99.81,51.32,78.38,80.63,80.91,14.64,71.02,24.65,43.33,96.41,7.78,99.96,66.35,55.17,76.84,7.58,10.16,60.24,19.45,23.75,11.80,89.41,33.64,48.28,96.81,6.83
p72,91.25,15.70,0.42,66.79,80.85,71.79,8.50,27.69,66.56,44.07,10.80,18.50,79.04,49.80,58.40,77.16,11.46,51.03,98.75,57.33,39.80,59.53,67.01,16.49,42.69,90.76,30.73,79.55,40.41,18.52,42.27,37.92,52.79,23.15,81.51,36.82,21.13,2.44,57.74,33.41,51.51,10.36,72.40,81.37,34.24,89.73,63.02,85.23,20.66,40.86,90.50,18.14,13.72,79.25,20.87,32.80,34.63,48.69,95.71,91.56,48.62,66.54,27.84,67.57,42.71,55.36,35.15,89.38,82.04,82.65,28.13,85.68,0.91,77.55,39.49,22.40,60.77,70.02,7.88,88.49,17.99,66.65,53.07,2.74,81.70,92.15,4.59,25.03,88.91,17.14,83.26,83.99,32.03,70.45,59.96,82.14,77.36,98.90,7.40,47.71,78.43,43.29,24.89,27.65,18.05,71.93,9.57,4.03,82.15,9.86,3.34,49.93,97.00,35.50,74.63,74.38,84.53,19.35,86.41,16.34,41.02,30.87,74.58,36.78,50.31,63.52,14.59,85.94,78.16,35.73,38.84,46.64,38.70,65.69,92.55,11.59,59.72,75.01,56.57,93.56,38.99,7.80,51.07,65.18,64.30,55.65,62.05,67.62,29.28,36.72,15.72,3.66,93.06,8.23,72.19,11.18,74.83,48.16,84.35,55.03,89.54,39.57,25.38,45.38
p73,57.08,59.47,81.75,68.33,4.92,56.43,2.68,5.75,42.54,22.18,17.72,46.35,43.94,54.06,45.67,30.39,49.00,20.21,92.52,17.21,75.38,18.21,52.43,76.38,84.24,9.53,14.99,93.53,62.19,47.25,63.10,45.46,81.77,78.73,4.34,89.61,80.17,52.22,78.26,99.73,40.65,21.29,9.59,35.57,98.07,32.37,88.57,23.60,31.69,94.35,44.64,7.61,83.18,87.82,32.65,37.11,73.03,22.99,44.18,42.43,5.33,69.33,60.99,55.77,23.85,80.68,41.05,78.67,47.46,14.51,50.43,95.61,36.97,17.51,70.22,22.59,18.86,66.40,28.45,93.12,23.26,71.69,4.28,88.61,77.63,15.55,23.31,46.15,76.76,12.18,60.22,15.98,26.19,96.87,85.21,78.08,68.86,41.59,29.36,75.49,29.16,37.27,17.26,10.86,5.79,57.15,67.52,73.92,6.37,49.54,81.05,61.94,43.63,75.71,80.64,46.94,4.82,71.73,78.87,77.28,12.40,94.72,98.44,43.17,11.61,83.78,70.55,16.25,24.96,66.78,44.91,9.52,94.12,90.59,43.01,76.31,59.02,22.17,31.16,28.65,20.70,27.05,98.27,8.06,65.76,41.31,56.99,53.57,85.30,81.53,62.11,96.44,95.28,26.66,71.42,1.11,38.94,24.79,71.06,44.02,53.12,26.45,76.92,35.82
